status,collection_group,collection_string,description,evidence_note
active,DUSSELDORF_HIRNFORSCHUNG,Stephan,"Stephan collection, Hirnforschung, Duesseldorf","co-located and specimen-sharing collections at one institute; codes drift between them, so they must be matched as one group"
active,DUSSELDORF_HIRNFORSCHUNG,Zilles,"Zilles collection, same institute","co-located and specimen-sharing collections at one institute; codes drift between them, so they must be matched as one group"
active,DUSSELDORF_HIRNFORSCHUNG,Zilles/Semendeferi,"sections cut from Zilles brains, held by Semendeferi","co-located and specimen-sharing collections at one institute; codes drift between them, so they must be matched as one group"
active,DUSSELDORF_HIRNFORSCHUNG,Semendeferi,Semendeferi collection,"co-located and specimen-sharing collections at one institute; codes drift between them, so they must be matched as one group"
active,DUSSELDORF_HIRNFORSCHUNG,Hirnforschung,institute name used as a sample label,"co-located and specimen-sharing collections at one institute; codes drift between them, so they must be matched as one group"
active,DUSSELDORF_HIRNFORSCHUNG,Hirnforschung / Stephan-Zilles shared collection,explicit shared-collection label,"co-located and specimen-sharing collections at one institute; codes drift between them, so they must be matched as one group"
active,DUSSELDORF_HIRNFORSCHUNG,Frahm,Frahm working records over Stephan material,"co-located and specimen-sharing collections at one institute; codes drift between them, so they must be matched as one group"
active,DUSSELDORF_HIRNFORSCHUNG,Stephan/Frahm,Stephan material in Frahm working records,"co-located and specimen-sharing collections at one institute; codes drift between them, so they must be matched as one group"
active,DUSSELDORF_HIRNFORSCHUNG,Zilles from Stephan,Stephan material held by Zilles,"co-located and specimen-sharing collections at one institute; codes drift between them, so they must be matched as one group"
active,DUSSELDORF_HIRNFORSCHUNG,Zilles/Amunts,"human developmental (prenatal/adult) sub-collection, Zilles et al. 2011 TableS3","Zilles et al. (2011) names this the third of its 'three brain collections'; catalogue codes (e.g. H x/xx) overlap the Hirnforschung/Stephan-Zilles shared collection's human codes"
active,DUSSELDORF_HIRNFORSCHUNG,Zilles-Amunts,"same sub-collection, hyphenated form","Zilles et al. (2011) names this the third of its 'three brain collections'; catalogue codes (e.g. H x/xx) overlap the Hirnforschung/Stephan-Zilles shared collection's human codes"
active,WELKER_AFIP,Welker,"Welker Wisconsin collection, later NMHM/AFIP","collection transferred institution; the qualifier (AFIP / NMHM) belongs in collection_qualifier, not the group"
active,WELKER_AFIP,Welker / University of Wisconsin comparative collection,"same collection, spelled out","collection transferred institution; the qualifier (AFIP / NMHM) belongs in collection_qualifier, not the group"
active,YAKOVLEV,Yakovlev-Haleem,Yakovlev-Haleem human collection,
active,GWU,GWU,George Washington University,
active,MOUNT_SINAI,Mount Sinai,Mount Sinai School of Medicine,
active,GAAP,GAAP,Great Ape Aging Project,
active,UCSD,UCSD,University of California San Diego,
active,KAAS_VANDERBILT,Kaas laboratory / Vanderbilt,Kaas laboratory,"""; from <institution>"" records the supplying colony, not a second collection; it is a qualifier"
active,YERKES,Yerkes,Yerkes National Primate Research Center,"Yerkes is primarily a SOURCE institution; it also appears as a holder string, so it gets its own group. A Yerkes-scoped match means same source colony, not necessarily same holding collection."
active,UNKNOWN,unknown,collection not established by the available source,never treat as a match: two UNKNOWN rows are not the same collection
active,FOSSIL_<SITE>,"fossil hominin (<site>, <country>)","RULE: one group per fossil locality, slug of the site name before the first comma, ASCII-folded","fossil designations are international identifiers; match globally, not within a group"
active,JOHNSON_MSU,Johnson Michigan State,"Johnson Michigan State University comparative brain collection, held with the Yakovlev-Haleem/Welker/Meyer-Phipps/Huber-Crosby/Crosby-Lauer series at the National Museum of Health and Medicine",Fobbs & Johnson 2011 (Brain collections at the National Museum of Health and Medicine) describes this as a distinct historically independent collection (Table S3, 176 catalog rows with printed animal_number + scientific_name); not part of the Duesseldorf, Welker, or Yakovlev-Haleem groups.
active,MEYER_PHIPPS_JHU,Meyer Phipps,"Meyer-Phipps Johns Hopkins University comparative brain collection, held at the National Museum of Health and Medicine",Fobbs & Johnson 2011 describes this as a distinct historically independent collection catalogued by box number (Table S4, 283 catalog rows); not part of any other registered group.
active,CROSBY_UMICH,Huber-Crosby,"Huber-Crosby comparative brain collection (University of Michigan), held at the National Museum of Health and Medicine",Fobbs & Johnson 2011 Table S5A; grouped with Crosby-Lauer because at least one specimen (Ailuropoda melanoleuca, Huber-Crosby specimen_number 609 = Crosby-Lauer animal_number L609, identical stain description) is cross-listed in both series.
active,CROSBY_UMICH,Crosby-Lauer,"Crosby-Lauer comparative brain collection (University of Michigan), held at the National Museum of Health and Medicine",Fobbs & Johnson 2011 Table S5B; grouped with Huber-Crosby because at least one specimen (Ailuropoda melanoleuca, animal_number L609 = Huber-Crosby specimen_number 609, identical stain description) is cross-listed in both series.
active,<parse rule>,A; B,RULE: split on top-level semicolons only (never inside parentheses); map each component; the row carries every group matched,"""Welker (University of Wisconsin comparative collection; later NMHM/AFIP)"" is ONE component"
active,<parse rule>,X (qualifier),"RULE: a trailing parenthetical is a qualifier, not part of the collection name; it moves to collection_qualifier","""Zilles (ex Yerkes)"" and ""Zilles"" are the same collection"
active,<parse rule>,...; from <institution>,"RULE: a component beginning ""from "" is a supplying-colony qualifier, not a collection",
