"Code","Definition","Structure","Measure","Stat","role","taxon","Reference","Note","Source Note"
"visual_acuity_max","Maximum visual acuity (ability to resolve spatial details) recorded for the species. Behavioural data was used if available, otherwise anatomical estimation were made from retinal anatomy and eye size (more prone to overestimation).","","acuity.cdeg","value","secondary","Mammalia (4 Aves rows registered, not compiled)","SensoryData_compiled","QUARANTINED: 24-row offset error, see ReadMe and sensory_VA_offset_audit.csv","Kirk or Veilleux and Kirk 2014"
"audible_freq_low_60dBSPL","Lowest frequencies audible at 60 dB SPL (sound pressure level) (re 20 μN/m^2)","","freq.kHz","value","secondary","Mammalia (4 Aves rows registered, not compiled)","SensoryData_compiled","","Heffner 1998, Heffner and Heffner 1992"
"audible_freq_high_60dBSPL","Highest frequencies audible at 60 dB SPL (re 20 μN/m^2)","","freq.kHz","value","secondary","Mammalia (4 Aves rows registered, not compiled)","SensoryData_compiled","","Heffner 1998, Heffner and Heffner 1992"
"hearing_range","Difference in octaves between the upper- and lower-frequency limits","","range.octaves","value","secondary","Mammalia (4 Aves rows registered, not compiled)","SensoryData_compiled","","Heffner 2004"
"interaural_distance_functional","Time required for sound to travel around the head from one auditory meatus to the other, provides a measurement of functional head size","","time.us","value","secondary","Mammalia (4 Aves rows registered, not compiled)","SensoryData_compiled","","Koay 1998"
"best_sensitivity","A species’ lowest threshold of sound detection","","level.dB","value","secondary","Mammalia (4 Aves rows registered, not compiled)","SensoryData_compiled","","Heffner 1998, Heffner and Heffner 1992"
"best_frequency","The frequency at which the best sensitivity occurs","","freq.kHz","value","secondary","Mammalia (4 Aves rows registered, not compiled)","SensoryData_compiled","","Heffner 1998, Heffner and Heffner 1992"
"sound_localization_threshold","Minimum audible angle (MAA) around the midline for discrimination of a 100-ms broadband noise (deg) (i.e. smallest angle of separation of the sound source from midline that an animal can discriminate 50% of the time). Sound stimulus is brief (lasting 250msec or less) and a complex noise burst/click with a broad range of frequencies. Correlated with width of field of best vision","","angle.deg","value","secondary","Mammalia (4 Aves rows registered, not compiled)","SensoryData_compiled","","Heffner 2018, Heffner and Heffner 1992a"
"field_of_best_vision_width","The horizontal width, in degrees, of the part of the retina that included densitities equal to or greater than 75% of the maximum density. Determined by mapping the density of retinal ganglion cells.","","angle.deg","value","secondary","Mammalia (4 Aves rows registered, not compiled)","SensoryData_compiled","","Heffner 2018, Heffner and Heffner 1992a"
"binocular_field","Width of the angle of overlap of the retinal fields of the left and right eyes","","angle.deg","value","secondary","Mammalia (4 Aves rows registered, not compiled)","SensoryData_compiled","","Heffner and Heffner 1992a"
"binaural_phase_cue_max_freq","Thee highest frequency that could be localized using the binaural phase cue (true limit could be slightly higher depending on the actual frequencies tested).","","freq.kHz","value","secondary","Mammalia (4 Aves rows registered, not compiled)","SensoryData_compiled","","Heffner et al 2014b"
"binaural_phase_cue","Ability of an animal to determine azimuth using difference in the arrival time of a sound at the two ears","","binary","value","secondary","Mammalia (4 Aves rows registered, not compiled)","SensoryData_compiled","","Heffner et al 2016"
"binaural_intensity_difference_cue","Ability of an animal to determine azimuth using difference in the intensity of a sound at the two ears. Requires animals to hear high frequencies","","binary","value","secondary","Mammalia (4 Aves rows registered, not compiled)","SensoryData_compiled","","Heffner et al 2016"
"monaural_pinna_cues","Ability to perform front-back localization of sounds and determine its elevation. Requires animals to hear high frequencies","","binary","value","secondary","Mammalia (4 Aves rows registered, not compiled)","SensoryData_compiled","","Heffner et al 2014"
"trophic_level","Degree to which a species is predatory or preyed upon. 1 = strict predators; 2 = predatory but are occasionally preyed upon; 3 = neither predator or prey; 4 = primarily prey but catch meat or scavenge opportunistically; 5 = strictly prey.","","ordinal","value","secondary","Mammalia (4 Aves rows registered, not compiled)","SensoryData_compiled","","Heffner and Heffner 1992a"
"Species_SensoryData","Species name verbatim as in Sensory Data.xlsx","","","","info","","SensoryData_compiled","",""
"method","Visual acuity method: B = behavioral, A = anatomical","","","","info","","SensoryData_compiled","",""
"substrate","Measurement medium, air or water","","","","info","","SensoryData_compiled","",""
"value_origin","published, or digitised_from_figure (>=4 decimals; chiefly Koay et al 1998 Fig. 6, Heffner 2018)","","","","info","","SensoryData_compiled","",""
"qc_status","ok / quarantined_va_offset / curator_flag","","","","info","","SensoryData_compiled","",""
"Method:units","Values kept in source units (performance/psychophysics measure class; no volume/mass conversions apply)","","","","info","","SensoryData_compiled","",""
