raw_variable,match_dataset,canonical_variable,concept,raw_unit,canonical_unit,to_canonical_factor,action,superseded_by,notes
Body_Mass.g,,Body_Mass,body mass,g,g,1.0,supersede,__merging_body_ecology,volumes & cellcounts; authoritative pooled value is in body_ecology_long. Kept only as fallback for species the merge lacks.
Body_weight,,Body_Mass,body mass,g,g,1.0,supersede,__merging_body_ecology,Lewitus 2014 trait table; grams (verified).
Body weight kg,,Body_Mass,body mass,kg,g,1000.0,supersede,__merging_body_ecology,Heffner & Masterton 1975; kg -> g.
Brain_Mass.mg,,Brain_Mass_measured,"brain mass (measured, weighed)",mg,g,0.001,supersede,__merging_brain_mass,"Stephan-collection fresh brain weights carried by the volumes merge. Measured mass, so it supersedes into Brain_Mass_measured, not into the mass-or-volume compilation stream."
WholeBrain_Mass.g,,Brain_Mass_excl_olfactory_bulb,"brain mass (measured, olfactory bulbs excluded)",g,g,1.0,supersede,__merging_brain_mass,"Isotropic-fractionator whole-brain mass (Herculano-Houzel/Kazu), which their definitions state EXCLUDES the olfactory bulbs and runs ~7% below the measured-mass stream on the 25 shared species. Superseded into its own variable, never pooled with Brain_Mass_measured."
Brain_weight_g,,Brain_Mass_measured,"brain mass (measured, weighed)",g,g,1.0,supersede,__merging_brain_mass,Lewitus trait-table brain weights. Measured mass; supersedes into Brain_Mass_measured.
Basal_metabolic_rate,,BMR_wholeanimal,basal metabolic rate (whole animal),mL O2/h,mL O2/h,1.0,supersede,__merging_body_ecology,Lewitus 2014 trait table BMR (ml O2/h); authoritative pooled value is in body_ecology_long (metabolic class). Fallback only.
Maximum_lifespan_yrs,,Maximum_longevity,maximum longevity,yr,yr,1.0,supersede,__merging_body_ecology,Lewitus 2014 trait table; life_history class in body_ecology_long. Fallback only.
Gestation_days,,Gestation,gestation length,days,days,1.0,supersede,__merging_body_ecology,Lewitus 2014; life_history class (pooled w/ Isler 2008 + pnas 2009). Fallback only.
Weaning_period_days,,Weaning_age,age at weaning,days,days,1.0,supersede,__merging_body_ecology,Lewitus 2014; life_history class (pooled w/ lactation length Isler 2008 + fnins 2021). Fallback only.
Litter_size,,Litter_size,litter size,count,count,1.0,supersede,__merging_body_ecology,Lewitus 2014; life_history class. Fallback only.
Female_sexual_maturity_days,,Female_sexual_maturity,age at female sexual maturity,days,days,1.0,supersede,__merging_body_ecology,Lewitus 2014; life_history class. Fallback only.
Diet_Inv,,Diet_Inv,diet % invertebrates,%,%,1.0,supersede,__merging_body_ecology,Wilman 2014 diet_foraging trait table; diet_ecology class (full 5403-mammal coverage). Fallback only.
Diet_Vend,,Diet_Vend,diet % endotherm vertebrates,%,%,1.0,supersede,__merging_body_ecology,Wilman 2014; diet_ecology class. Fallback only.
Diet_Vect,,Diet_Vect,diet % ectotherm vertebrates,%,%,1.0,supersede,__merging_body_ecology,Wilman 2014; diet_ecology class. Fallback only.
Diet_Vfish,,Diet_Vfish,diet % fish,%,%,1.0,supersede,__merging_body_ecology,Wilman 2014; diet_ecology class. Fallback only.
Diet_Vunk,,Diet_Vunk,diet % unknown vertebrates,%,%,1.0,supersede,__merging_body_ecology,Wilman 2014; diet_ecology class. Fallback only.
Diet_Scav,,Diet_Scav,diet % carrion/scavenge,%,%,1.0,supersede,__merging_body_ecology,Wilman 2014; diet_ecology class. Fallback only.
Diet_Fruit,,Diet_Fruit,diet % fruit,%,%,1.0,supersede,__merging_body_ecology,Wilman 2014; diet_ecology class. Fallback only.
Diet_Nect,,Diet_Nect,diet % nectar,%,%,1.0,supersede,__merging_body_ecology,Wilman 2014; diet_ecology class. Fallback only.
Diet_Seed,,Diet_Seed,diet % seed,%,%,1.0,supersede,__merging_body_ecology,Wilman 2014; diet_ecology class. Fallback only.
Diet_PlantO,,Diet_PlantO,diet % other plant,%,%,1.0,supersede,__merging_body_ecology,Wilman 2014; diet_ecology class. Fallback only.
Diet_breadth,,Diet_breadth,number of diet categories used,count,count,1.0,supersede,__merging_body_ecology,Wilman 2014; diet_ecology class. Fallback only.
Diet_dominant,,Diet_dominant,dominant diet category,category,category,1.0,supersede,__merging_body_ecology,Wilman 2014 (categorical); diet_ecology class. Fallback only.
Trophic_guild,,Trophic_guild,trophic guild (faunivore/herbivore/omnivore),category,category,1.0,supersede,__merging_body_ecology,Wilman 2014 (categorical); diet_ecology class. Fallback only.
ForStrat_stratum,,ForStrat_stratum,foraging stratum,category,category,1.0,supersede,__merging_body_ecology,Wilman 2014 (categorical); diet_ecology class. Fallback only.
Activity_pattern,,Activity_pattern,activity pattern,category,category,1.0,supersede,__merging_body_ecology,Wilman 2014 (categorical); diet_ecology class. Fallback only.
Neocortex_mm^3,Brain-structure volumes,Neocortex_Vol.mm3,neocortex volume,mm3,mm3,1.0,keep_separate,,"Lewitus 2014 trait table vs the volumes merge; 28/33 species overlap. NOT superseded, two reasons. (1) MECHANISM: the app builds its coverage map from the four MERGE files only (app.R load_compiled: cov <- split(merges$Species, merges$Variable)), and volumes_long is a BASE dataset. A supersede row here would relabel the Lewitus rows to ""Neocortex_Vol.mm3 (mm3)"" but drop nothing, producing two conflicting rows per species instead of one. (2) DATA: only 18/28 overlapping species agree within 1% — Macaca mulatta differs 15%, Perodicticus potto 19%, Nycticebus coucang 6.192 vs 5831 (a unit or transcription discrepancy at source). Different measurements, not a duplicate label."
Ventricle_mm^3,Brain-structure volumes,Ventricles_Vol.mm3,ventricular volume,mm3,mm3,1.0,keep_separate,,"Lewitus 2014 vs the volumes merge; 27/27 overlapping species agree exactly, so the values ARE the same measurement (Lewitus carried the Stephan-collection numbers). Still not superseded: same mechanism limit as Neocortex_mm^3 — the supersede target must be a merge label, and volumes_long is a base dataset. Revisit if the volumes merge is ever promoted to a std_merge() source; then this becomes a clean supersede with 5 fallback species (Aotus nancymaae, Galago demidoff, Gorilla gorilla gorilla, Otolemur garnettii, Saimiri boliviensis boliviensis)."
Diet,EvoM1 traits,Diet_dominant,dominant diet category,ordinal,category,1.0,keep_separate,,"Iwaniuk et al. 1999 ordinal diet code vs Wilman 2014 Diet_dominant. 22/25 species overlap but 0/22 values agree: Iwaniuk prints integers 0-4, Wilman prints category names (""Endotherm vertebrates"", ""Fruit""). Different coding schemes for a related concept — not a duplicate."
Hand–eye,EvoM1 traits,Dexterity,hand-eye coordination / digital dexterity,ordinal,1-7 scale,1.0,keep_separate,,"Iwaniuk et al. 1999 hand-eye score vs the behaviour merge Dexterity (1-7 scale). All 25 species overlap but only 2/25 values agree: Iwaniuk runs 0-2, Dexterity runs 1-7. Different scales, no published crosswalk in the repo, so no to_canonical_factor can be justified."
Arboreality,EvoM1 traits,Arboreal_terrestrial,arboreality / substrate use,ordinal,category,1.0,keep_separate,,"Iwaniuk et al. 1999 ordinal arboreality vs the behaviour merge Arboreal_terrestrial (category). Only 5/25 species overlap — far below the near-total overlap the supersede convention requires, and superseding would hide 20 species behind a relabel."
Penetration down spinal cord,EvoM1 traits,CST_termination_grade,corticospinal termination extent,category,ordinal 0-2,1.0,keep_separate,,"Heffner & Masterton 1975 penetration depth vs Bortoff & Strick 1993 CST_termination_grade. 1/43 species overlap (the merge has only 2 species: Sapajus apella, Saimiri sciureus). Different methods and near-disjoint species sets."
% Fruit and seeds,EvoM1 traits,Diet_Fruit,frugivory,%,%,1.0,keep_separate,,"Lewitus 2014 prints a COMBINED fruit+seed percentage; Wilman 2014 partitions the same diet space into separate Diet_Fruit and Diet_Seed. Superseding onto Diet_Fruit alone would silently discard the seed component. Different partitions of one concept, not a duplicate column."
Brain_Mass_measured,__merging_brain_mass,Brain_Mass_mass_or_volume,whole-brain size,g,g,1.0,keep_separate,,"Burger 2019 and Herculano-Houzel 2015 'brain.mass..g.or.cm3.' report a mass for some species and a volume converted at 1 cm3 = 1 g for others, and neither flags which is which per row. 212 species have both streams: median ratio 1.000, but 39 differ by >1.2x and 7 by >2x. Not poolable with weighed mass."
