Code,Definition,Structure,Measure,Stat,role,taxon,Reference,Note,Source Note
species_sci,Harmonised accepted binomial (project species key),,,,info,primates (157 spp.; 936 rows -- multiple records per taxon),DeCasien_Higham_2019_GroupSizeDatafrom38,added in build via project species key,
First or Duplicate Entry?,"Workbook's own flag ('ok' or 'dup') marking whether this record is a first entry for the taxon+group-size combination or a duplicate of one already listed",,,,info,primates,DeCasien_Higham_2019_GroupSizeDatafrom38,"preserved as printed; the build does NOT silently drop 'dup'-flagged rows (per the item README)",
KEY (species name & group size) _duplicates in red,"Workbook's own composite join key (taxon name concatenated with the group-size value), used by the source workbook to detect duplicate records (shown in red formatting there; formatting itself not carried into CSV/TSV)",,,,info,primates,DeCasien_Higham_2019_GroupSizeDatafrom38,verbatim as printed,
Taxon,Species name as printed (Genus_species, underscore-joined),,,,info,primates,DeCasien_Higham_2019_GroupSizeDatafrom38,printed name preserved,
Group Size,Individual group-size record from the underlying source,Social_group,count,,primary,primates,DeCasien_Higham_2019_GroupSizeDatafrom38,"per-record value (not yet aggregated); see sibling GroupSizeDataaggregated for the species-level means computed partly from these",count
Reference from 38 (see last tab),Author-year label for the specific sub-source within reference 38 that this record was drawn from,,,,info,primates,DeCasien_Higham_2019_GroupSizeDatafrom38,resolves against the sibling SourceRefsfrom38 item's bibliography,
Source(s) in reference from 38,"Further source detail printed alongside some records (sparse)",,,,info,primates,DeCasien_Higham_2019_GroupSizeDatafrom38,verbatim as printed; sparse,
Notes,Free-text note printed alongside some rows,,,,info,primates,DeCasien_Higham_2019_GroupSizeDatafrom38,verbatim as printed; sparse,
Method:frozen_source,"41559_2019_969_MOESM3_ESM.xlsx (worksheet 'Group Size Data (from 38)') is a digital-native journal supplementary workbook -- it IS the frozen source (kept verbatim, no derived snapshot)",,,,method,primates,DeCasien_Higham_2019_GroupSizeDatafrom38,,
Method:primary_role,"Despite being nested inside a secondary compilation (reference 38's own literature review), these are the underlying per-record observations -- more granular than the species-level GroupSizeDataaggregated item -- so role is flagged primary here relative to that aggregate",,,,method,primates,DeCasien_Higham_2019_GroupSizeDatafrom38,,
