canonical_specimen,source_row_label,classification,entry_point,linked_to_existing_row,reason,taxon_concept_flag
SEMDAM2000-HOMO-01,Human 1,specimen,Semendeferi_Damasio_2000_Table2.csv column Specimen,no,"No printed code, name, or accession beyond the table-ordinal label; DUSSELDORF_HIRNFORSCHUNG-group rows were checked and rejected as a match candidate because this paper's methods (p.318) state the humans came from University of Iowa Dept. of Neurology and the apes were living Yerkes subjects scanned in vivo, not postmortem Stephan/Zilles/Frahm/Semendeferi-section material.",NA
SEMDAM2000-HOMO-02,Human 2,specimen,Semendeferi_Damasio_2000_Table2.csv column Specimen,no,"No printed code, name, or accession beyond the table-ordinal label; DUSSELDORF_HIRNFORSCHUNG-group rows were checked and rejected as a match candidate because this paper's methods (p.318) state the humans came from University of Iowa Dept. of Neurology and the apes were living Yerkes subjects scanned in vivo, not postmortem Stephan/Zilles/Frahm/Semendeferi-section material.",NA
SEMDAM2000-HOMO-03,Human 3,specimen,Semendeferi_Damasio_2000_Table2.csv column Specimen,no,"No printed code, name, or accession beyond the table-ordinal label; DUSSELDORF_HIRNFORSCHUNG-group rows were checked and rejected as a match candidate because this paper's methods (p.318) state the humans came from University of Iowa Dept. of Neurology and the apes were living Yerkes subjects scanned in vivo, not postmortem Stephan/Zilles/Frahm/Semendeferi-section material.",NA
SEMDAM2000-HOMO-04,Human 4,specimen,Semendeferi_Damasio_2000_Table2.csv column Specimen,no,"No printed code, name, or accession beyond the table-ordinal label; DUSSELDORF_HIRNFORSCHUNG-group rows were checked and rejected as a match candidate because this paper's methods (p.318) state the humans came from University of Iowa Dept. of Neurology and the apes were living Yerkes subjects scanned in vivo, not postmortem Stephan/Zilles/Frahm/Semendeferi-section material.",NA
SEMDAM2000-HOMO-05,Human 5,specimen,Semendeferi_Damasio_2000_Table2.csv column Specimen,no,"No printed code, name, or accession beyond the table-ordinal label; DUSSELDORF_HIRNFORSCHUNG-group rows were checked and rejected as a match candidate because this paper's methods (p.318) state the humans came from University of Iowa Dept. of Neurology and the apes were living Yerkes subjects scanned in vivo, not postmortem Stephan/Zilles/Frahm/Semendeferi-section material.",NA
SEMDAM2000-HOMO-06,Human 6,specimen,Semendeferi_Damasio_2000_Table2.csv column Specimen,no,"No printed code, name, or accession beyond the table-ordinal label; DUSSELDORF_HIRNFORSCHUNG-group rows were checked and rejected as a match candidate because this paper's methods (p.318) state the humans came from University of Iowa Dept. of Neurology and the apes were living Yerkes subjects scanned in vivo, not postmortem Stephan/Zilles/Frahm/Semendeferi-section material.",NA
SEMDAM2000-HOMO-07,Human 7,specimen,Semendeferi_Damasio_2000_Table2.csv column Specimen,no,"No printed code, name, or accession beyond the table-ordinal label; DUSSELDORF_HIRNFORSCHUNG-group rows were checked and rejected as a match candidate because this paper's methods (p.318) state the humans came from University of Iowa Dept. of Neurology and the apes were living Yerkes subjects scanned in vivo, not postmortem Stephan/Zilles/Frahm/Semendeferi-section material.",NA
SEMDAM2000-HOMO-08,Human 8,specimen,Semendeferi_Damasio_2000_Table2.csv column Specimen,no,"No printed code, name, or accession beyond the table-ordinal label; DUSSELDORF_HIRNFORSCHUNG-group rows were checked and rejected as a match candidate because this paper's methods (p.318) state the humans came from University of Iowa Dept. of Neurology and the apes were living Yerkes subjects scanned in vivo, not postmortem Stephan/Zilles/Frahm/Semendeferi-section material.",NA
SEMDAM2000-HOMO-09,Human 9,specimen,Semendeferi_Damasio_2000_Table2.csv column Specimen,no,"No printed code, name, or accession beyond the table-ordinal label; DUSSELDORF_HIRNFORSCHUNG-group rows were checked and rejected as a match candidate because this paper's methods (p.318) state the humans came from University of Iowa Dept. of Neurology and the apes were living Yerkes subjects scanned in vivo, not postmortem Stephan/Zilles/Frahm/Semendeferi-section material.",NA
SEMDAM2000-HOMO-10,Human 10,specimen,Semendeferi_Damasio_2000_Table2.csv column Specimen,no,"No printed code, name, or accession beyond the table-ordinal label; DUSSELDORF_HIRNFORSCHUNG-group rows were checked and rejected as a match candidate because this paper's methods (p.318) state the humans came from University of Iowa Dept. of Neurology and the apes were living Yerkes subjects scanned in vivo, not postmortem Stephan/Zilles/Frahm/Semendeferi-section material.",NA
